Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-56.031,360,0.013,-0.144,0.573,141.197,21.896,2.952,25,21,-16,-11.12,-3.07,-98.54,0.647,-0.083,0.056,-0.756
23-36-56.041,361,0.009,-0.077,0.365,334.943,39.136,0.284,26,20,-18,-9.48,-2.83,-98.56,0.648,-0.073,0.047,-0.756
23-36-56.051,362,-0.025,0.119,0.111,675.180,64.787,-5.421,26,18,-22,-5.75,-2.41,-98.61,0.650,-0.049,0.024,-0.758
23-36-56.061,363,-0.167,0.920,0.261,1259.858,87.484,-23.263,26,12,-30,1.73,-1.73,-98.72,0.651,-0.002,-0.021,-0.758
23-36-56.070,364,-0.217,1.729,1.084,1773.354,115.621,-24.195,26,0,-40,15.09,-0.80,-98.82,0.646,0.080,-0.104,-0.752
23-36-56.080,365,0.045,1.735,1.843,1547.806,134.613,10.727,27,-12,-44,32.75,0.36,-98.53,0.625,0.186,-0.212,-0.728
23-36-56.091,366,-0.004,1.122,1.239,641.721,91.881,50.943,28,-20,-46,46.97,1.25,-97.56,0.601,0.270,-0.293,-0.693
23-36-56.100,367,0.057,0.954,0.872,304.161,17.272,55.257,28,-24,-47,52.87,1.38,-96.61,0.592,0.304,-0.325,-0.672
23-36-56.110,368,0.055,0.790,0.640,254.485,-4.925,51.031,28,-27,-47,55.93,1.02,-96.18,0.587,0.319,-0.344,-0.660
23-36-56.120,369,0.036,0.802,0.692,156.628,9.573,32.715,28,-30,-48,58.33,0.59,-95.94,0.583,0.330,-0.359,-0.650
23-36-56.130,370,0.052,0.892,0.723,101.615,16.818,15.441,29,-31,-48,59.83,0.39,-95.69,0.580,0.337,-0.368,-0.644
23-36-56.140,371,0.036,0.876,0.739,52.293,8.030,12.314,28,-31,-49,60.79,0.33,-95.48,0.579,0.342,-0.373,-0.639
23-36-56.150,372,0.032,0.825,0.715,-25.263,-6.278,10.923,28,-31,-48,61.22,0.26,-95.37,0.579,0.344,-0.375,-0.637
23-36-56.160,373,0.024,0.841,0.735,-119.916,-21.426,3.450,28,-30,-48,60.85,0.13,-95.39,0.580,0.342,-0.374,-0.638
23-36-56.170,374,0.025,0.849,0.755,-225.686,-36.309,-4.162,28,-29,-48,59.52,-0.01,-95.59,0.583,0.333,-0.368,-0.643
23-36-56.180,375,0.005,0.888,0.814,-331.932,-50.822,-6.022,28,-26,-48,57.13,-0.17,-95.94,0.589,0.319,-0.356,-0.652
23-36-56.190,376,0.040,0.868,0.817,-450.303,-60.360,-2.577,27,-23,-48,53.67,-0.42,-96.40,0.596,0.298,-0.339,-0.664
23-36-56.200,377,0.036,0.798,0.861,-559.920,-62.556,-1.507,27,-18,-47,49.04,-0.78,-96.89,0.606,0.271,-0.315,-0.679
23-36-56.210,378,0.019,0.634,0.841,-664.630,-62.468,5.382,26,-12,-45,43.30,-1.21,-97.34,0.617,0.236,-0.284,-0.695
23-36-56.220,379,0.019,0.563,0.959,-739.397,-56.092,2.949,26,-5,-42,36.58,-1.71,-97.70,0.628,0.196,-0.246,-0.712
23-36-56.230,380,-0.118,0.421,0.978,-847.465,-45.561,-6.691,26,0,-40,29.07,-2.18,-97.99,0.639,0.151,-0.201,-0.727
23-36-56.240,381,-0.073,0.267,0.894,-918.470,-42.664,-15.481,25,6,-34,20.48,-2.56,-98.24,0.647,0.100,-0.149,-0.741
23-36-56.250,382,-0.004,0.153,0.782,-854.623,-40.166,-28.976,25,12,-29,11.37,-2.92,-98.53,0.651,0.045,-0.092,-0.752
23-36-56.260,383,0.027,0.145,0.691,-656.264,-40.756,-33.223,25,16,-24,3.08,-3.28,-98.87,0.650,-0.004,-0.039,-0.759
23-36-56.270,384,0.050,0.113,0.730,-444.316,-29.410,-24.176,24,19,-19,-3.18,-3.68,-99.20,0.647,-0.042,0.000,-0.761
23-36-56.280,385,0.049,-0.020,0.840,-291.947,-5.514,-4.691,24,20,-17,-7.40,-3.96,-99.39,0.643,-0.068,0.027,-0.762
23-36-56.290,386,0.068,-0.154,0.925,-209.675,10.281,11.208,24,22,-16,-10.22,-4.00,-99.41,0.641,-0.084,0.045,-0.761
23-36-56.300,387,0.095,-0.236,0.987,-137.688,15.175,16.266,25,22,-14,-12.23,-3.87,-99.31,0.641,-0.094,0.059,-0.760
23-36-56.311,388,0.091,-0.280,1.078,-81.499,13.410,18.059,25,22,-13,-13.54,-3.68,-99.18,0.641,-0.101,0.069,-0.758
23-36-56.320,389,0.083,-0.319,1.105,-78.184,8.350,16.596,25,23,-12,-14.35,-3.52,-99.03,0.641,-0.104,0.075,-0.757
23-36-56.330,390,0.098,-0.327,1.058,-117.656,-0.007,10.117,25,23,-11,-15.19,-3.40,-98.90,0.641,-0.108,0.081,-0.755
23-36-56.340,391,0.102,-0.338,0.983,-146.513,-9.658,5.857,25,24,-10,-16.42,-3.39,-98.81,0.641,-0.115,0.089,-0.754
23-36-56.350,392,0.101,-0.405,0.916,-160.406,-15.319,6.756,25,24,-9,-17.90,-3.47,-98.72,0.640,-0.124,0.099,-0.752
23-36-56.361,393,0.104,-0.499,0.845,-179.629,-16.431,8.259,25,25,-8,-19.54,-3.60,-98.60,0.639,-0.133,0.110,-0.750
23-36-56.371,394,0.104,-0.549,0.814,-188.578,-13.641,4.880,25,25,-6,-21.43,-3.49,-98.46,0.637,-0.144,0.121,-0.747
23-36-56.381,395,0.072,-0.549,0.775,-179.779,-10.441,-4.042,25,25,-4,-23.32,-3.60,-98.37,0.635,-0.155,0.133,-0.745
23-36-56.391,396,0.061,-0.451,0.756,-147.158,-7.248,-16.724,25,25,-3,-25.07,-3.72,-98.38,0.632,-0.166,0.144,-0.743
23-36-56.402,397,0.047,-0.360,0.792,-107.194,-1.513,-21.564,25,25,-2,-26.48,-3.85,-98.51,0.629,-0.174,0.152,-0.742
23-36-56.411,398,0.024,-0.345,0.836,-73.952,5.005,-13.992,25,26,-1,-27.50,-3.95,-98.69,0.626,-0.180,0.158,-0.742
23-36-56.421,399,0.020,-0.352,0.899,-48.435,7.578,-5.451,25,26,-1,-28.20,-3.96,-98.83,0.624,-0.184,0.163,-0.742
23-36-56.431,400,0.016,-0.364,0.942,-35.954,8.625,0.073,25,25,0,-28.65,-3.92,-98.91,0.623,-0.186,0.166,-0.741
23-36-56.440,401,0.031,-0.376,0.918,-48.173,4.823,2.076,24,26,0,-29.02,-3.84,-98.94,0.622,-0.187,0.169,-0.741
23-36-56.450,402,0.050,-0.392,0.870,-54.689,0.427,5.066,25,26,0,-29.52,-3.80,-98.94,0.622,-0.190,0.173,-0.740
23-36-56.460,403,0.066,-0.420,0.850,-37.055,0.709,10.048,25,25,0,-30.05,-3.76,-98.90,0.621,-0.191,0.176,-0.739
23-36-56.470,404,0.085,-0.475,0.783,-11.984,2.256,15.590,25,26,0,-30.30,-3.58,-98.81,0.622,-0.193,0.179,-0.738
23-36-56.480,405,0.099,-0.561,0.629,34.843,3.896,16.329,24,25,0,-30.37,-3.48,-98.68,0.622,-0.193,0.180,-0.737
23-36-56.490,406,0.099,-0.541,0.496,133.510,12.884,8.634,25,25,0,-29.93,-3.36,-98.57,0.624,-0.190,0.177,-0.737
23-36-56.500,407,0.065,-0.466,0.630,269.172,35.225,-4.458,25,26,-2,-28.40,-3.19,-98.59,0.627,-0.180,0.168,-0.739
23-36-56.510,408,0.097,-0.338,0.763,370.234,49.419,-17.414,25,25,-5,-25.58,-2.89,-98.81,0.630,-0.165,0.151,-0.744
23-36-56.520,409,0.106,-0.221,0.877,466.399,47.046,-21.193,25,24,-9,-21.77,-2.79,-99.16,0.633,-0.141,0.128,-0.750
23-36-56.531,410,0.104,-0.049,0.932,563.080,42.398,-14.079,25,23,-12,-16.98,-2.42,-99.51,0.636,-0.111,0.099,-0.757
23-36-56.540,411,0.105,0.151,0.823,699.134,33.424,-1.402,25,20,-18,-11.18,-2.05,-99.73,0.640,-0.076,0.063,-0.762
23-36-56.550,412,0.071,0.355,0.718,909.064,32.966,19.761,25,16,-24,-3.94,-1.72,-99.77,0.643,-0.034,0.017,-0.765
23-36-56.561,413,-0.048,0.513,0.925,1116.880,50.655,45.506,25,10,-32,5.44,-1.38,-99.53,0.646,0.021,-0.044,-0.762
23-36-56.570,414,-0.065,0.634,1.377,1125.676,80.917,54.629,26,1,-39,16.66,-0.93,-98.96,0.644,0.088,-0.115,-0.751
23-36-56.580,415,-0.011,0.625,1.407,874.498,78.651,39.588,27,-4,-42,27.63,-0.37,-98.17,0.637,0.154,-0.183,-0.733
23-36-56.591,416,-0.011,0.669,1.117,507.730,45.338,18.762,27,-10,-44,35.86,0.07,-97.46,0.627,0.203,-0.231,-0.715
23-36-56.600,417,-0.015,0.767,0.901,311.521,13.159,1.175,27,-13,-45,40.68,0.29,-97.08,0.620,0.232,-0.259,-0.703
23-36-56.610,418,-0.031,0.736,0.768,190.563,1.966,-1.808,27,-16,-46,43.66,0.37,-97.00,0.614,0.249,-0.277,-0.696
23-36-56.621,419,-0.046,0.784,0.784,95.638,2.430,-3.655,27,-17,-46,45.42,0.39,-97.00,0.610,0.258,-0.287,-0.692
23-36-56.630,420,-0.038,0.834,0.807,45.087,-0.178,-4.155,27,-18,-46,46.32,0.44,-97.01,0.608,0.263,-0.292,-0.690
23-36-56.640,421,-0.038,0.854,0.764,-21.830,-11.026,-1.921,27,-18,-46,46.69,0.45,-97.05,0.607,0.265,-0.295,-0.689
23-36-56.651,422,-0.006,0.873,0.752,-93.179,-21.486,-1.224,27,-17,-46,46.39,0.38,-97.15,0.607,0.263,-0.293,-0.690
23-36-56.660,423,-0.003,0.853,0.728,-176.194,-28.380,1.842,27,-16,-46,45.35,0.23,-97.32,0.609,0.256,-0.288,-0.693
23-36-56.670,424,0.044,0.813,0.813,-246.930,-28.246,8.595,26,-14,-45,43.50,0.01,-97.50,0.612,0.244,-0.279,-0.698
23-36-56.681,425,0.040,0.743,0.943,-331.478,-22.002,14.042,27,-11,-45,40.92,-0.26,-97.62,0.618,0.229,-0.264,-0.705
23-36-56.690,426,0.063,0.699,1.068,-400.386,-24.884,15.353,27,-8,-43,37.52,-0.52,-97.65,0.624,0.209,-0.245,-0.712
23-36-56.701,427,0.070,0.605,1.099,-481.412,-36.143,17.016,26,-5,-42,33.42,-0.82,-97.67,0.632,0.184,-0.221,-0.720
23-36-56.710,428,0.061,0.445,1.048,-588.182,-42.664,22.190,26,0,-39,28.48,-1.23,-97.71,0.640,0.154,-0.192,-0.728
23-36-56.733,429,-0.033,0.305,1.054,-691.024,-43.339,25.594,26,5,-36,22.46,-1.72,-97.69,0.648,0.117,-0.156,-0.737
23-36-56.733,430,0.039,0.074,0.946,-776.274,-42.199,24.310,26,9,-32,15.43,-2.20,-97.59,0.655,0.074,-0.114,-0.744
23-36-56.741,431,0.033,-0.141,0.855,-792.445,-38.416,12.538,26,14,-26,7.63,-2.66,-97.45,0.659,0.026,-0.065,-0.749
23-36-56.751,432,0.094,-0.232,0.740,-693.077,-41.265,-2.129,26,18,-21,-0.20,-3.05,-97.37,0.660,-0.021,-0.016,-0.751
23-36-56.761,433,0.055,-0.271,0.737,-526.860,-37.601,-12.114,26,21,-17,-6.90,-3.46,-97.38,0.657,-0.062,0.025,-0.751
23-36-56.772,434,0.086,-0.349,0.716,-414.973,-26.907,-16.242,25,23,-12,-12.02,-3.84,-97.44,0.653,-0.094,0.057,-0.749
23-36-56.781,435,0.047,-0.341,0.729,-342.833,-12.676,-21.650,25,24,-10,-16.07,-4.13,-97.54,0.648,-0.119,0.082,-0.748
23-36-56.791,436,0.043,-0.302,0.741,-279.717,-0.170,-26.092,25,24,-8,-19.41,-4.30,-97.72,0.643,-0.139,0.103,-0.746
23-36-56.801,437,0.047,-0.282,0.765,-208.890,7.977,-21.527,24,24,-6,-22.10,-4.38,-97.97,0.638,-0.154,0.120,-0.745
23-36-56.810,438,0.047,-0.313,0.741,-140.218,14.331,-12.192,24,25,-5,-24.09,-4.38,-98.19,0.634,-0.165,0.133,-0.744
23-36-56.820,439,0.043,-0.286,0.788,-47.653,21.163,-4.842,25,25,-3,-25.37,-4.29,-98.35,0.631,-0.171,0.142,-0.743
23-36-56.830,440,0.047,-0.317,0.702,45.665,29.445,1.591,25,25,-4,-25.71,-4.11,-98.49,0.630,-0.172,0.146,-0.743
23-36-56.840,441,0.050,-0.297,0.486,188.238,35.972,3.810,25,25,-5,-25.10,-3.82,-98.60,0.631,-0.166,0.143,-0.744
23-36-56.850,442,0.028,-0.176,0.471,413.871,55.802,-4.075,25,24,-8,-22.92,-3.46,-98.73,0.633,-0.152,0.131,-0.747
23-36-56.860,443,0.077,0.090,0.462,675.779,71.674,-12.948,25,23,-13,-18.45,-2.94,-98.98,0.638,-0.123,0.105,-0.753
23-36-56.871,444,0.060,0.446,0.494,1019.288,82.007,-4.938,25,19,-21,-11.27,-2.27,-99.29,0.643,-0.079,0.062,-0.759
23-36-56.880,445,-0.138,0.996,0.743,1468.625,99.778,15.519,25,13,-29,-0.52,-1.43,-99.39,0.647,-0.013,-0.005,-0.763
23-36-56.890,446,-0.035,1.541,1.653,1756.542,117.523,37.767,26,1,-38,14.66,-0.45,-99.09,0.644,0.080,-0.100,-0.754
23-36-56.900,447,0.029,1.089,2.004,1223.360,119.786,70.850,27,-10,-44,31.73,0.48,-98.24,0.629,0.182,-0.204,-0.728
23-36-56.910,448,0.036,0.664,1.391,389.921,62.769,65.586,28,-16,-45,42.71,0.95,-96.98,0.615,0.247,-0.268,-0.699
23-36-56.920,449,0.109,0.714,0.894,189.975,-5.429,29.829,28,-19,-47,46.36,0.90,-96.19,0.612,0.268,-0.288,-0.686
23-36-56.930,450,0.019,0.657,0.755,151.909,-6.310,22.677,28,-20,-47,48.24,0.64,-96.04,0.609,0.277,-0.300,-0.680
23-36-56.940,451,0.024,0.723,0.931,105.491,16.015,15.569,28,-21,-47,49.70,0.46,-95.92,0.606,0.284,-0.310,-0.675
23-36-56.950,452,0.009,0.786,1.006,35.585,12.185,6.231,28,-21,-47,50.67,0.45,-95.70,0.605,0.290,-0.315,-0.671
23-36-56.960,453,-0.003,0.810,0.909,-35.210,-15.359,4.119,28,-22,-47,50.94,0.46,-95.60,0.605,0.292,-0.316,-0.670
23-36-56.970,454,-0.034,0.834,0.764,-108.067,-35.609,3.225,28,-21,-47,50.49,0.31,-95.72,0.606,0.288,-0.315,-0.671
23-36-56.980,455,-0.038,0.799,0.607,-135.347,-42.121,2.393,28,-20,-47,49.35,0.06,-95.98,0.608,0.280,-0.310,-0.675
23-36-56.990,456,-0.008,0.748,0.532,-58.985,-37.245,6.722,28,-19,-47,48.10,-0.24,-96.28,0.610,0.271,-0.305,-0.680
23-36-57.000,457,-0.031,0.795,0.634,35.414,-29.529,9.362,27,-19,-47,47.63,-0.54,-96.50,0.611,0.266,-0.304,-0.681
23-36-57.010,458,-0.015,0.775,0.775,43.743,-25.902,10.536,27,-20,-47,48.01,-0.80,-96.64,0.610,0.266,-0.308,-0.680
23-36-57.020,459,-0.015,0.826,0.709,1.877,-39.153,3.382,26,-20,-47,48.40,-1.06,-96.79,0.608,0.266,-0.312,-0.679
23-36-57.028,460,-0.015,0.826,0.709,1.877,-39.153,3.382,26,-20,-47,48.40,-1.06,-96.79,0.608,0.266,-0.312,-0.679
23-36-57.030,461,0.024,0.869,0.613,-19.472,-54.190,3.171,26,-20,-47,48.39,-1.36,-97.08,0.608,0.263,-0.314,-0.680
23-36-57.040,462,0.032,0.892,0.649,-51.049,-49.283,7.164,26,-20,-47,48.17,-1.74,-97.45,0.607,0.259,-0.316,-0.682
23-36-57.050,463,0.072,0.954,0.805,-103.081,-42.779,8.435,25,-19,-47,47.62,-2.12,-97.76,0.607,0.253,-0.315,-0.684
23-36-57.060,464,0.088,0.961,0.875,-187.261,-50.137,8.685,25,-17,-47,46.49,-2.47,-98.03,0.609,0.244,-0.311,-0.688
23-36-57.071,465,0.138,0.847,0.925,-296.401,-60.462,20.527,24,-15,-46,44.51,-2.91,-98.33,0.612,0.230,-0.302,-0.694
23-36-57.081,466,0.094,0.671,0.961,-423.664,-64.355,31.668,24,-12,-46,41.39,-3.50,-98.58,0.618,0.209,-0.286,-0.702
23-36-57.091,467,0.112,0.589,0.945,-536.343,-68.020,34.630,23,-8,-44,37.03,-4.21,-98.74,0.626,0.180,-0.263,-0.712
23-36-57.100,468,0.112,0.483,0.913,-675.961,-65.581,38.348,23,-2,-41,31.50,-4.97,-98.83,0.634,0.145,-0.233,-0.723
23-36-57.111,469,0.078,0.226,0.843,-851.090,-53.834,46.603,23,4,-37,24.52,-5.72,-98.79,0.643,0.101,-0.193,-0.734
23-36-57.122,470,0.060,-0.114,0.729,-967.996,-41.560,42.702,23,4,-37,15.80,-6.37,-98.53,0.651,0.048,-0.140,-0.744
23-36-57.131,471,0.112,-0.345,0.488,-900.220,-39.672,16.179,23,15,-26,6.12,-6.85,-98.21,0.655,-0.010,-0.079,-0.751
23-36-57.141,472,0.148,-0.244,0.354,-607.091,-40.998,-21.956,23,19,-20,-2.53,-7.25,-98.11,0.653,-0.062,-0.025,-0.755
23-36-57.152,473,0.141,-0.091,0.484,-299.376,-15.289,-38.232,23,21,-18,-8.15,-7.66,-98.33,0.647,-0.097,0.010,-0.756
23-36-57.161,474,0.122,-0.103,0.708,-153.485,24.218,-20.535,22,21,-16,-10.91,-7.82,-98.67,0.642,-0.113,0.028,-0.758
23-36-57.171,475,0.087,-0.158,0.968,-68.077,48.855,0.507,22,21,-16,-12.30,-7.58,-98.90,0.640,-0.119,0.038,-0.758
23-36-57.181,476,0.045,-0.158,1.158,-35.166,50.442,5.143,23,22,-14,-12.92,-7.10,-98.99,0.639,-0.120,0.045,-0.759
23-36-57.190,477,0.061,-0.150,1.169,-50.304,36.207,2.738,23,22,-14,-13.28,-6.61,-99.06,0.639,-0.118,0.051,-0.759
23-36-57.200,478,0.072,-0.162,1.090,-72.117,18.922,3.691,23,22,-13,-13.81,-6.28,-99.11,0.638,-0.119,0.056,-0.759
23-36-57.210,479,0.049,-0.142,1.075,-96.752,13.942,8.858,23,23,-13,-14.56,-6.09,-99.11,0.637,-0.122,0.062,-0.758
23-36-57.220,480,0.061,-0.150,1.102,-140.934,13.834,14.364,23,23,-13,-15.58,-5.93,-99.05,0.637,-0.127,0.070,-0.757
23-36-57.230,481,0.079,-0.217,1.055,-190.485,8.945,20.843,24,24,-10,-17.07,-5.76,-98.94,0.636,-0.134,0.080,-0.756
23-36-57.240,482,0.102,-0.264,0.964,-193.834,1.256,26.898,24,24,-9,-19.01,-5.62,-98.76,0.635,-0.144,0.094,-0.753
23-36-57.250,483,0.128,-0.405,0.810,-159.509,-3.281,30.986,24,25,-7,-20.93,-5.52,-98.50,0.635,-0.154,0.107,-0.750
23-36-57.260,484,0.139,-0.464,0.691,-61.378,-0.748,25.372,24,25,-6,-22.45,-5.43,-98.20,0.635,-0.161,0.119,-0.746
23-36-57.270,485,0.147,-0.436,0.746,58.821,13.034,11.832,24,25,-6,-22.97,-4.99,-97.97,0.636,-0.163,0.122,-0.744
23-36-57.280,486,0.116,-0.455,0.684,151.657,25.728,3.945,25,25,-7,-22.29,-4.81,-97.93,0.637,-0.158,0.119,-0.745
23-36-57.290,487,0.147,-0.373,0.471,303.837,29.838,-11.690,25,24,-9,-20.59,-4.56,-98.01,0.640,-0.147,0.109,-0.747
23-36-57.300,488,0.161,-0.021,0.440,560.454,28.621,-34.579,25,23,-13,-17.22,-4.33,-98.24,0.642,-0.126,0.089,-0.751
23-36-57.310,489,0.104,0.148,0.367,839.173,45.754,-25.867,25,20,-19,-11.25,-4.12,-98.65,0.645,-0.093,0.048,-0.757
23-36-57.370,490,0.025,0.900,0.594,189.676,-23.673,-24.810,26,-18,-46,48.80,-1.66,-97.74,0.603,0.262,-0.320,-0.682
23-36-57.371,491,0.009,0.889,0.539,179.873,-21.361,-21.643,26,-18,-46,48.80,-1.66,-97.74,0.603,0.262,-0.320,-0.682
23-36-57.380,492,-0.011,0.858,0.665,128.721,7.314,-7.342,25,-22,-48,50.53,-1.63,-98.00,0.598,0.270,-0.331,-0.678
23-36-57.390,493,-0.018,0.896,0.834,66.596,20.589,-4.680,25,-23,-48,51.75,-1.51,-97.96,0.595,0.277,-0.337,-0.675
23-36-57.401,494,0.010,0.951,0.806,-19.507,-2.953,-7.488,26,-23,-47,52.31,-1.36,-97.85,0.594,0.282,-0.339,-0.673
23-36-57.410,495,0.025,0.947,0.684,-110.263,-28.732,-4.367,25,-22,-47,51.99,-1.35,-97.95,0.594,0.280,-0.338,-0.675
23-36-57.420,496,0.017,0.959,0.681,-196.321,-32.462,1.876,25,-22,-47,50.80,-1.50,-98.21,0.596,0.272,-0.332,-0.679
23-36-57.431,497,0.060,0.931,0.695,-298.626,-30.407,9.624,25,-19,-47,48.71,-1.73,-98.43,0.600,0.259,-0.321,-0.686
23-36-57.440,498,0.056,0.856,0.837,-394.267,-26.282,21.420,25,-15,-46,45.61,-2.02,-98.58,0.606,0.240,-0.304,-0.694
23-36-57.450,499,0.078,0.695,0.840,-513.622,-26.234,31.959,25,-11,-45,41.53,-2.36,-98.59,0.615,0.217,-0.281,-0.704
23-36-57.460,500,0.085,0.535,0.867,-583.299,-24.592,36.695,25,-6,-43,36.28,-2.77,-98.50,0.626,0.186,-0.251,-0.715
23-36-57.471,501,0.107,0.389,0.964,-614.849,-17.914,35.547,25,-6,-43,30.41,-3.17,-98.33,0.636,0.151,-0.216,-0.725
23-36-57.481,502,0.052,0.296,1.005,-680.693,-11.818,27.375,25,3,-38,24.16,-3.48,-98.10,0.645,0.115,-0.177,-0.734
23-36-57.491,503,0.129,0.170,0.967,-704.524,-11.800,18.285,25,8,-34,17.29,-3.68,-97.89,0.653,0.075,-0.134,-0.742
23-36-57.501,504,0.104,0.033,0.944,-638.382,-17.646,14.464,25,12,-29,10.32,-3.85,-97.75,0.657,0.034,-0.090,-0.748
23-36-57.510,505,0.076,-0.130,0.905,-558.596,-22.041,17.331,25,16,-25,4.04,-4.04,-97.63,0.659,-0.003,-0.050,-0.751
23-36-57.520,506,0.063,-0.263,0.807,-516.387,-23.482,10.966,25,16,-25,-1.51,-4.27,-97.46,0.659,-0.037,-0.015,-0.751
23-36-57.530,507,-0.019,-0.301,0.758,-447.915,-17.043,-3.746,25,21,-18,-6.60,-4.49,-97.36,0.657,-0.067,0.017,-0.751
23-36-57.540,508,0.093,-0.326,0.657,-339.776,-8.222,-18.649,26,22,-14,-10.95,-4.66,-97.39,0.654,-0.093,0.045,-0.750
23-36-57.550,509,0.074,-0.255,0.682,-179.705,5.309,-24.177,25,23,-12,-14.13,-4.76,-97.57,0.649,-0.112,0.065,-0.749
23-36-57.560,510,0.040,-0.188,0.788,-53.597,19.090,-20.331,25,23,-12,-15.74,-4.76,-97.82,0.646,-0.121,0.076,-0.750
23-36-57.570,511,0.040,-0.181,0.887,22.477,31.711,-10.742,25,23,-12,-16.16,-4.61,-98.05,0.644,-0.122,0.080,-0.751
23-36-57.580,512,0.025,-0.153,0.977,94.755,35.744,-3.787,25,23,-12,-15.83,-4.33,-98.24,0.644,-0.118,0.080,-0.752
23-36-57.590,513,0.026,-0.095,1.072,147.146,35.818,-2.428,25,22,-13,-14.80,-3.99,-98.37,0.644,-0.110,0.075,-0.753
23-36-57.600,514,0.041,-0.095,0.902,184.408,29.094,-0.722,25,21,-14,-13.28,-3.65,-98.47,0.645,-0.099,0.067,-0.754
23-36-57.610,515,0.044,-0.090,0.509,322.167,20.769,1.250,25,20,-16,-11.30,-3.38,-98.54,0.647,-0.087,0.054,-0.756
23-36-57.620,516,0.041,0.028,0.176,631.671,33.508,-5.108,25,20,-16,-7.64,-3.38,-98.56,0.649,-0.066,0.031,-0.757
23-36-57.630,517,-0.076,0.523,0.125,1143.426,59.980,-18.403,25,14,-28,-0.70,-3.02,-98.65,0.651,-0.024,-0.013,-0.758
23-36-57.640,518,-0.057,1.354,1.091,1650.347,98.056,-19.592,26,4,-37,11.46,-2.36,-98.79,0.649,0.049,-0.089,-0.754
23-36-57.650,519,0.058,1.307,2.047,1514.289,133.223,3.276,26,-9,-44,28.03,-1.33,-98.60,0.635,0.149,-0.191,-0.734
23-36-57.660,520,0.070,1.015,1.469,624.146,96.193,21.913,27,-17,-46,41.89,-0.30,-97.79,0.615,0.233,-0.271,-0.703
23-36-57.670,521,0.147,1.054,0.996,319.294,5.076,15.446,27,-17,-46,47.67,0.15,-97.07,0.605,0.269,-0.302,-0.686
23-36-57.681,522,0.105,0.742,0.658,247.938,-27.844,35.913,27,-23,-48,50.82,0.01,-96.95,0.599,0.285,-0.321,-0.676
23-36-57.690,523,0.054,0.610,0.695,153.553,-3.180,35.284,27,-24,-48,53.17,-0.43,-96.92,0.594,0.294,-0.337,-0.668
23-36-57.700,524,0.031,0.704,0.790,100.637,16.656,12.380,27,-25,-48,54.63,-0.69,-96.73,0.592,0.301,-0.347,-0.662
23-36-57.710,525,0.024,0.755,0.825,49.670,8.090,-0.540,27,-26,-48,55.58,-0.69,-96.54,0.591,0.306,-0.351,-0.658
23-36-57.720,526,0.005,0.822,0.798,-32.153,-10.346,-5.302,27,-26,-48,55.98,-0.64,-96.50,0.590,0.309,-0.353,-0.657
23-36-57.730,527,0.013,0.912,0.720,-123.641,-28.971,-7.507,27,-25,-48,55.54,-0.67,-96.64,0.590,0.306,-0.351,-0.659
23-36-57.740,528,-0.018,0.971,0.666,-218.956,-40.576,-7.578,27,-24,-48,54.19,-0.78,-96.93,0.593,0.297,-0.345,-0.664
23-36-57.751,529,0.014,0.998,0.712,-317.578,-43.344,-1.842,26,-21,-47,51.88,-0.98,-97.30,0.597,0.283,-0.333,-0.673
23-36-57.760,530,0.006,0.924,0.806,-424.923,-41.137,7.979,26,-18,-47,48.58,-1.25,-97.64,0.603,0.263,-0.316,-0.683
23-36-57.770,531,0.028,0.782,0.782,-528.133,-42.423,20.317,26,-18,-47,44.21,-1.60,-97.87,0.613,0.237,-0.292,-0.695
23-36-57.781,532,0.016,0.669,0.884,-585.821,-43.381,26.110,25,-9,-44,38.84,-2.06,-98.00,0.623,0.205,-0.262,-0.708
23-36-57.791,533,0.030,0.528,0.951,-657.994,-41.689,25.579,25,-3,-41,32.91,-2.56,-98.04,0.634,0.170,-0.228,-0.720
23-36-57.801,534,-0.114,0.440,0.978,-778.723,-35.867,16.962,25,1,-38,26.18,-3.04,-98.02,0.643,0.129,-0.188,-0.731
23-36-57.811,535,0.005,0.270,0.857,-860.218,-31.618,8.524,25,8,-33,18.25,-3.43,-98.01,0.651,0.082,-0.139,-0.742
23-36-57.821,536,0.047,0.129,0.820,-772.223,-24.814,2.772,25,8,-33,9.74,-3.74,-98.01,0.655,0.031,-0.085,-0.750
23-36-57.831,537,0.065,0.019,0.867,-580.390,-23.397,2.615,25,16,-24,2.26,-3.99,-98.01,0.656,-0.013,-0.038,-0.754
23-36-57.842,538,0.038,-0.055,0.934,-412.905,-20.679,2.790,25,19,-20,-3.31,-4.22,-97.98,0.655,-0.047,-0.002,-0.754
23-36-57.851,539,0.130,-0.186,0.888,-333.390,-16.166,5.778,25,20,-17,-7.34,-4.42,-97.93,0.653,-0.071,0.023,-0.754
23-36-57.860,540,0.114,-0.248,0.838,-238.705,-13.091,10.072,25,22,-15,-10.57,-4.56,-97.84,0.651,-0.090,0.043,-0.752
23-36-57.871,541,0.113,-0.260,0.739,-140.499,-13.491,9.109,25,22,-15,-12.84,-4.67,-97.71,0.650,-0.104,0.058,-0.751
23-36-57.881,542,0.110,-0.252,0.724,-48.692,-4.568,11.562,25,23,-13,-14.14,-4.77,-97.59,0.649,-0.112,0.065,-0.749
