Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-52.990,56,-0.000,0.327,0.044,175.458,110.947,106.513,7,15,-22,-1.03,-20.78,-110.62,0.558,-0.153,-0.095,-0.810
23-36-53.000,57,-0.019,-0.175,0.452,213.330,162.733,137.333,9,15,-23,0.41,-19.61,-109.44,0.570,-0.137,-0.101,-0.804
23-36-53.010,58,-0.008,-0.422,0.774,108.776,205.234,107.803,11,14,-24,1.94,-17.94,-107.98,0.583,-0.116,-0.105,-0.797
23-36-53.020,59,0.028,-0.302,0.973,-18.712,213.122,40.127,12,14,-25,2.53,-15.92,-106.83,0.593,-0.098,-0.100,-0.793
23-36-53.030,60,0.028,-0.302,0.973,-18.712,213.122,40.127,12,14,-25,2.53,-15.92,-106.83,0.593,-0.098,-0.100,-0.793
23-36-53.030,61,0.088,-0.064,1.113,-95.319,210.303,-9.790,13,15,-24,2.13,-13.81,-106.40,0.596,-0.085,-0.087,-0.793
23-36-53.040,62,0.101,0.072,1.306,-115.061,204.269,-18.567,15,15,-23,1.16,-11.71,-106.46,0.596,-0.076,-0.069,-0.796
23-36-53.050,63,0.075,0.095,1.550,-106.602,190.260,-6.435,15,16,-22,0.05,-9.68,-106.61,0.595,-0.067,-0.051,-0.799
23-36-53.061,64,0.079,0.068,1.652,-118.313,155.519,7.630,16,17,-21,-1.02,-7.82,-106.67,0.595,-0.060,-0.034,-0.801
23-36-53.070,65,0.094,0.063,1.663,-125.952,117.412,18.460,17,17,-20,-2.22,-6.31,-106.61,0.596,-0.056,-0.017,-0.801
23-36-53.081,66,0.113,0.004,1.627,-107.247,94.858,32.137,18,17,-19,-3.48,-5.16,-106.47,0.597,-0.054,-0.003,-0.801
23-36-53.091,67,0.128,-0.129,1.576,-63.139,79.031,50.071,18,18,-19,-4.52,-4.21,-106.19,0.598,-0.053,0.009,-0.799
23-36-53.100,68,0.107,-0.242,1.553,-16.050,63.517,65.317,19,18,-18,-5.12,-3.40,-105.73,0.602,-0.051,0.018,-0.797
