Time,Frame Counter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
17-37-20.947,125,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-20.957,126,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-20.968,127,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-20.977,128,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.987,129,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-20.999,130,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.007,131,,,,0.000,0.100,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.017,132,,,,0.000,0.100,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-21.027,133,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.037,134,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-21.049,135,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.057,136,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.750,12.400,,,,
17-37-21.067,137,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-21.077,138,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.087,139,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.099,140,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.108,141,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.117,142,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.127,143,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.138,144,,,,0.000,-0.100,0.000,9,-20,-32,55.690,2.740,12.400,,,,
17-37-21.149,145,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.157,146,,,,0.000,0.000,0.000,9,-20,-33,55.680,2.740,12.400,,,,
17-37-21.168,147,,,,0.000,0.000,0.000,9,-20,-33,55.680,2.740,12.400,,,,
17-37-21.177,148,,,,0.000,0.000,0.000,10,-20,-33,55.680,2.740,12.400,,,,
17-37-21.187,149,,,,0.000,0.000,0.000,9,-20,-33,55.680,2.740,12.400,,,,
17-37-21.199,150,,,,0.000,0.000,0.000,9,-20,-33,55.680,2.740,12.400,,,,
17-37-21.207,151,,,,0.000,0.000,0.000,9,-20,-33,55.680,2.740,12.400,,,,
17-37-21.217,152,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.229,153,,,,0.000,-0.100,0.000,9,-20,-32,55.690,2.740,12.400,,,,
17-37-21.238,154,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.249,155,,,,0.000,-0.100,0.000,9,-19,-33,55.690,2.740,12.400,,,,
17-37-21.256,156,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.266,157,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.276,158,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.740,12.400,,,,
17-37-21.286,159,,,,0.000,-0.100,0.000,10,-20,-33,55.690,2.740,12.400,,,,
17-37-21.296,160,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.730,12.400,,,,
17-37-21.306,161,,,,0.000,-0.100,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.316,162,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.326,163,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.336,164,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.345,165,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.730,12.400,,,,
17-37-21.355,166,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.730,12.400,,,,
17-37-21.365,167,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.730,12.400,,,,
17-37-21.376,168,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.730,12.400,,,,
17-37-21.386,169,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.730,12.400,,,,
17-37-21.396,170,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.730,12.400,,,,
17-37-21.406,171,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.730,12.400,,,,
17-37-21.416,172,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.730,12.400,,,,
17-37-21.426,173,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.730,12.400,,,,
17-37-21.436,174,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.446,175,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.456,176,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.730,12.400,,,,
17-37-21.475,177,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.730,12.400,,,,
17-37-21.475,178,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-21.488,179,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-21.497,180,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.740,12.400,,,,
17-37-21.506,181,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.740,12.400,,,,
17-37-21.515,182,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.740,12.400,,,,
17-37-21.526,183,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.536,184,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-21.546,185,,,,0.000,0.000,-0.100,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.556,186,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.566,187,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.576,188,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.586,189,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-21.596,190,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.740,12.400,,,,
17-37-21.606,191,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.616,192,,,,0.000,0.100,0.000,9,-20,-32,55.700,2.750,12.400,,,,
17-37-21.626,193,,,,0.000,0.100,0.000,9,-20,-32,55.700,2.750,12.400,,,,
17-37-21.636,194,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.750,12.400,,,,
17-37-21.646,195,,,,0.000,0.000,0.000,10,-20,-32,55.700,2.750,12.400,,,,
17-37-21.656,196,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.750,12.400,,,,
17-37-21.666,197,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.677,198,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.740,12.400,,,,
17-37-21.686,199,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-21.696,200,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-21.706,201,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.500,,,,
17-37-21.716,202,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-21.726,203,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-21.736,204,,,,0.000,0.000,0.000,10,-22,-32,55.700,2.750,12.500,,,,
17-37-21.745,205,,,,0.000,0.000,0.000,9,-18,-33,55.700,2.750,12.400,,,,
17-37-21.756,206,,,,0.000,0.000,0.000,10,-19,-33,55.700,2.750,12.400,,,,
17-37-21.765,207,,,,0.000,0.000,0.000,9,-18,-33,55.690,2.750,12.400,,,,
17-37-21.776,208,,,,0.000,0.000,0.000,9,-18,-33,55.690,2.750,12.400,,,,
17-37-21.786,209,,,,0.000,-0.100,0.000,10,-29,-33,55.690,2.750,12.400,,,,
17-37-21.796,210,,,,0.000,-0.100,0.000,10,-12,-33,55.690,2.750,12.400,,,,
17-37-21.806,211,,,,0.000,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.816,212,,,,0.000,0.000,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.826,213,,,,0.000,0.000,0.000,9,-12,-33,55.690,2.750,12.400,,,,
17-37-21.836,214,,,,0.000,-0.100,0.000,10,-29,-33,55.690,2.750,12.400,,,,
17-37-21.846,215,,,,-0.100,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.858,216,,,,-0.100,-0.100,0.000,10,-11,-33,55.690,2.750,12.400,,,,
17-37-21.869,217,,,,0.000,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.876,218,,,,0.000,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.886,219,,,,0.000,0.000,0.000,9,-23,-32,55.690,2.750,12.400,,,,
17-37-21.896,220,,,,0.000,0.000,0.000,9,-17,-32,55.690,2.750,12.400,,,,
17-37-21.906,221,,,,0.000,0.000,0.000,9,-17,-33,55.690,2.750,12.400,,,,
17-37-21.916,222,,,,0.000,-0.100,0.000,9,-17,-33,55.690,2.750,12.400,,,,
17-37-21.926,223,,,,0.000,-0.100,0.000,10,-17,-32,55.690,2.750,12.400,,,,
17-37-21.936,224,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.946,225,,,,0.100,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-21.956,226,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.740,12.400,,,,
17-37-21.966,227,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-21.976,228,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-21.980,229,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.987,230,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-22.005,231,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-22.008,232,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-22.017,233,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.750,12.400,,,,
17-37-22.028,234,,,,0.000,0.000,0.000,7,-20,-33,55.690,2.750,12.400,,,,
17-37-22.037,235,,,,0.000,0.000,0.000,12,-20,-33,55.690,2.750,12.400,,,,
17-37-22.047,236,,,,0.000,0.000,0.000,12,-20,-33,55.690,2.740,12.400,,,,
17-37-22.057,237,,,,0.000,0.000,0.000,12,-20,-33,55.700,2.750,12.400,,,,
17-37-22.068,238,,,,0.000,0.000,0.000,12,-20,-33,55.700,2.740,12.400,,,,
17-37-22.077,239,,,,0.000,-0.100,0.000,4,-20,-33,55.700,2.740,12.400,,,,
17-37-22.087,240,,,,0.000,-0.100,0.000,15,-20,-33,55.700,2.740,12.400,,,,
